Date,Visitor,Visitor_PTS,Home,Home_PTS,Total_Points
2025-04-11,Orlando Magic,129,Indiana Pacers,115,244
2025-04-11,Oklahoma City Thunder,145,Utah Jazz,111,256
2025-04-11,Brooklyn Nets,91,Minnesota Timberwolves,117,208
2025-04-11,Memphis Grizzlies,109,Denver Nuggets,117,226
2025-04-11,Golden State Warriors,103,Portland Trail Blazers,86,189
2025-04-11,Los Angeles Clippers,101,Sacramento Kings,100,201
2025-04-11,Houston Rockets,109,Los Angeles Lakers,140,249
2025-04-11,Toronto Raptors,102,Dallas Mavericks,124,226
2025-04-11,Miami Heat,153,New Orleans Pelicans,104,257
2025-04-11,Washington Wizards,89,Chicago Bulls,119,208
2025-04-11,Cleveland Cavaliers,108,New York Knicks,102,210
2025-04-11,Charlotte Hornets,94,Boston Celtics,130,224
2025-04-11,Atlanta Hawks,124,Philadelphia 76ers,110,234
2025-04-11,Milwaukee Bucks,125,Detroit Pistons,119,244
2025-04-11,San Antonio Spurs,98,Phoenix Suns,117,215
2025-04-18,Dallas Mavericks,106,Memphis Grizzlies,120,226
2025-04-18,Miami Heat,123,Atlanta Hawks,114,237
2025-04-25,Los Angeles Lakers,104,Minnesota Timberwolves,116,220
2025-04-25,Indiana Pacers,101,Milwaukee Bucks,117,218
2025-04-25,Boston Celtics,93,Orlando Magic,95,188
2025-04-04,Dallas Mavericks,91,Los Angeles Clippers,114,205
2025-04-04,New Orleans Pelicans,108,Los Angeles Lakers,124,232
2025-04-04,Cleveland Cavaliers,114,San Antonio Spurs,113,227
2025-04-04,Utah Jazz,112,Indiana Pacers,140,252
2025-04-04,Oklahoma City Thunder,111,Houston Rockets,125,236
2025-04-04,Phoenix Suns,103,Boston Celtics,123,226
2025-04-04,Portland Trail Blazers,113,Chicago Bulls,118,231
2025-04-04,Sacramento Kings,125,Charlotte Hornets,102,227
2025-04-04,Denver Nuggets,104,Golden State Warriors,118,222
2025-04-04,Detroit Pistons,117,Toronto Raptors,105,222
2024-12-13,Los Angeles Clippers,98,Denver Nuggets,120,218
2024-12-13,Phoenix Suns,134,Utah Jazz,126,260
2024-12-13,Brooklyn Nets,119,Memphis Grizzlies,135,254
2024-12-13,San Antonio Spurs,118,Portland Trail Blazers,116,234
2024-12-13,Charlotte Hornets,95,Chicago Bulls,109,204
2024-12-13,Indiana Pacers,121,Philadelphia 76ers,107,228
2024-12-13,Washington Wizards,105,Cleveland Cavaliers,115,220
2024-12-13,Los Angeles Lakers,87,Minnesota Timberwolves,97,184
2024-12-20,Milwaukee Bucks,101,Cleveland Cavaliers,124,225
2024-12-20,Oklahoma City Thunder,104,Miami Heat,97,201
2024-12-20,Charlotte Hornets,98,Philadelphia 76ers,108,206
2024-12-27,New York Knicks,108,Orlando Magic,85,193
2024-12-27,Indiana Pacers,105,Boston Celtics,142,247
2024-12-27,San Antonio Spurs,96,Brooklyn Nets,87,183
2024-12-27,Dallas Mavericks,98,Phoenix Suns,89,187
2024-12-27,Minnesota Timberwolves,113,Houston Rockets,112,225
2024-12-27,Memphis Grizzlies,132,New Orleans Pelicans,124,256
2024-12-27,Cleveland Cavaliers,149,Denver Nuggets,135,284
2024-12-27,Golden State Warriors,92,Los Angeles Clippers,102,194
2024-12-06,Los Angeles Lakers,132,Atlanta Hawks,134,266
2024-12-06,Milwaukee Bucks,105,Boston Celtics,111,216
2024-12-06,Indiana Pacers,132,Chicago Bulls,123,255
2024-12-06,Sacramento Kings,140,San Antonio Spurs,113,253
2024-12-06,Minnesota Timberwolves,107,Golden State Warriors,90,197
2024-12-06,Utah Jazz,141,Portland Trail Blazers,99,240
2024-12-06,Orlando Magic,94,Philadelphia 76ers,102,196
2025-02-21,Milwaukee Bucks,104,Washington Wizards,101,205
2025-02-21,Minnesota Timberwolves,115,Houston Rockets,121,236
2025-02-21,Detroit Pistons,125,San Antonio Spurs,110,235
2025-02-21,Golden State Warriors,132,Sacramento Kings,108,240
2025-02-21,Oklahoma City Thunder,130,Utah Jazz,107,237
2025-02-21,Memphis Grizzlies,105,Orlando Magic,104,209
2025-02-21,New York Knicks,105,Cleveland Cavaliers,142,247
2025-02-21,Miami Heat,120,Toronto Raptors,111,231
2025-02-21,New Orleans Pelicans,103,Dallas Mavericks,111,214
2025-02-28,Minnesota Timberwolves,116,Utah Jazz,117,233
2025-02-28,Los Angeles Clippers,102,Los Angeles Lakers,106,208
2025-02-28,Cleveland Cavaliers,123,Boston Celtics,116,239
2025-02-28,Oklahoma City Thunder,135,Atlanta Hawks,119,254
2025-02-28,Denver Nuggets,134,Detroit Pistons,119,253
2025-02-28,Portland Trail Blazers,121,Brooklyn Nets,102,223
2025-02-28,New Orleans Pelicans,108,Phoenix Suns,125,233
2025-02-28,Toronto Raptors,115,Chicago Bulls,125,240
2025-02-28,New York Knicks,114,Memphis Grizzlies,113,227
2025-02-28,Indiana Pacers,120,Miami Heat,125,245
2025-02-07,Philadelphia 76ers,112,Detroit Pistons,125,237
2025-02-07,San Antonio Spurs,116,Charlotte Hornets,117,233
2025-02-07,Cleveland Cavaliers,134,Washington Wizards,124,258
2025-02-07,Milwaukee Bucks,110,Atlanta Hawks,115,225
2025-02-07,Miami Heat,86,Brooklyn Nets,102,188
2025-02-07,Toronto Raptors,109,Oklahoma City Thunder,121,230
2025-02-07,Utah Jazz,127,Phoenix Suns,135,262
