date,game,minimum,decision,confidence,actual_total,went_over,result,reasoning,month
2024-10-22,New York Knicks @ Boston Celtics,217.0,NO,61,241,True,SKIPPED,Elite offense (119.5) | Average pace (96.2) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-22,Minnesota Timberwolves @ Los Angeles Lakers,212.5,NO,61,213,True,SKIPPED,Elite offense (116.2) | Average pace (97.4) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (99+ days),2024-10
2024-10-23,Chicago Bulls @ New Orleans Pelicans,212.5,NO,58,234,True,SKIPPED,Above-avg offense (112.2) | Fast pace (100.9) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-23,Indiana Pacers @ Detroit Pistons,218.0,NO,53,224,True,SKIPPED,Strong offense (115.8) | Above average pace (99.8) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (99+ days),2024-10
2024-10-23,Brooklyn Nets @ Atlanta Hawks,208.5,NO,33,236,True,SKIPPED,Weak offense (111.5) | Above average pace (99.5) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (99+ days),2024-10
2024-10-23,Milwaukee Bucks @ Philadelphia 76ers,210.0,NO,48,233,True,SKIPPED,Above-avg offense (113.9) | Above average pace (98.3) | Both teams neutral form | Moderate buffer (15.1) | Both teams rested (99+ days),2024-10
2024-10-23,Cleveland Cavaliers @ Toronto Raptors,218.0,NO,63,242,True,SKIPPED,Elite offense (116.1) | Above average pace (99.8) | Both teams neutral form | Tight buffer (14.8) | Both teams rested (99+ days),2024-10
2024-10-23,Orlando Magic @ Miami Heat,201.0,NO,31,213,True,SKIPPED,Weak offense (111.5) | Average pace (96.2) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (99+ days),2024-10
2024-10-23,Golden State Warriors @ Portland Trail Blazers,209.5,NO,48,244,True,SKIPPED,Above-avg offense (113.3) | Above average pace (98.8) | Both teams neutral form | Moderate buffer (15.2) | Both teams rested (99+ days),2024-10
2024-10-23,Phoenix Suns @ Los Angeles Clippers,211.5,NO,51,229,True,SKIPPED,Strong offense (115.7) | Average pace (97.3) | Both teams neutral form | Moderate buffer (15.0) | Both teams rested (99+ days),2024-10
2024-10-23,Charlotte Hornets @ Houston Rockets,204.5,NO,33,215,True,SKIPPED,Weak offense (111.3) | Above average pace (98.1) | Both teams neutral form | Tight buffer (14.9) | Both teams rested (99+ days),2024-10
