Team,GP,PPG,W,L,ORtg,DRtg,Pace,Record
Cleveland Cavaliers,82,121.9,64.0,18.0,121.7,112.2,99.8,64-18
Memphis Grizzlies,82,121.7,48.0,34.0,117.7,113.0,103.3,48-34
Denver Nuggets,82,120.8,50.0,32.0,119.9,116.0,99.8,50-32
Oklahoma City Thunder,82,120.5,68.0,14.0,120.3,107.5,100.0,68-14
Atlanta Hawks,82,118.2,40.0,42.0,114.6,115.7,102.6,40-42
Chicago Bulls,82,117.8,39.0,43.0,114.1,115.6,102.8,39-43
Indiana Pacers,82,117.4,50.0,32.0,116.5,114.3,99.9,50-32
Boston Celtics,82,116.3,61.0,21.0,120.6,111.1,95.7,61-21
New York Knicks,82,115.8,51.0,31.0,118.5,114.3,96.7,51-31
Sacramento Kings,82,115.7,40.0,42.0,116.7,116.2,98.2,40-42
Milwaukee Bucks,82,115.5,48.0,34.0,115.9,113.4,99.3,48-34
Detroit Pistons,82,115.5,44.0,38.0,115.0,113.1,99.8,44-38
Minnesota Timberwolves,82,114.3,49.0,33.0,116.6,111.5,97.3,49-33
Houston Rockets,82,114.3,52.0,30.0,115.3,110.8,98.6,52-30
Dallas Mavericks,82,114.2,39.0,43.0,114.8,116.0,99.2,39-43
San Antonio Spurs,82,113.9,34.0,48.0,114.4,117.2,99.3,34-48
Golden State Warriors,82,113.8,48.0,34.0,115.0,111.7,98.7,48-34
Phoenix Suns,82,113.6,36.0,46.0,116.2,119.3,97.1,36-46
Los Angeles Lakers,82,113.4,50.0,32.0,115.9,114.7,97.6,50-32
Los Angeles Clippers,82,112.9,50.0,32.0,115.1,110.3,97.5,50-32
Utah Jazz,82,111.9,17.0,65.0,111.2,120.4,100.0,17-65
Toronto Raptors,82,110.9,30.0,52.0,110.5,114.8,99.7,30-52
Portland Trail Blazers,82,110.9,36.0,46.0,111.7,114.7,98.8,36-46
Miami Heat,82,110.6,37.0,45.0,113.5,112.9,96.2,37-45
New Orleans Pelicans,82,109.8,21.0,61.0,110.4,119.9,99.1,21-61
Philadelphia 76ers,82,109.6,24.0,58.0,111.9,118.2,97.4,24-58
Washington Wizards,82,108.0,18.0,64.0,106.8,119.1,100.9,18-64
Orlando Magic,82,105.4,41.0,41.0,109.4,109.6,96.1,41-41
Charlotte Hornets,82,105.1,19.0,63.0,107.3,116.6,97.6,19-63
Brooklyn Nets,82,105.1,26.0,56.0,108.5,115.8,96.4,26-56
