Team,GP,PPG,W,L,ORtg,DRtg,Pace,Record
Houston Rockets,11,125.5,8.0,3.0,126.3,114.0,97.5,8-3
Miami Heat,13,125.3,7.0,6.0,117.8,114.8,105.5,7-6
Denver Nuggets,12,124.4,10.0,2.0,124.3,111.2,99.2,10-2
New York Knicks,12,122.1,8.0,4.0,122.6,115.7,99.6,8-4
Oklahoma City Thunder,14,121.6,13.0,1.0,119.2,104.2,99.0,13-1
Cleveland Cavaliers,14,121.1,9.0,5.0,117.5,113.4,102.3,9-5
Minnesota Timberwolves,13,120.7,8.0,5.0,120.0,115.2,100.6,8-5
Portland Trail Blazers,12,120.6,6.0,6.0,117.2,117.4,102.9,6-6
Toronto Raptors,13,120.5,8.0,5.0,118.8,114.0,101.4,8-5
Philadelphia 76ers,12,119.3,7.0,5.0,118.3,115.7,99.9,7-5
Chicago Bulls,11,118.6,6.0,5.0,116.2,116.4,102.1,6-5
Phoenix Suns,13,118.5,8.0,5.0,119.0,114.1,98.8,8-5
Milwaukee Bucks,14,118.4,8.0,6.0,117.2,117.6,100.3,8-6
San Antonio Spurs,12,118.4,8.0,4.0,118.2,112.0,99.3,8-4
Detroit Pistons,13,118.2,11.0,2.0,116.3,110.4,100.8,11-2
Charlotte Hornets,13,117.2,4.0,9.0,116.8,120.1,99.5,4-9
Atlanta Hawks,13,117.1,8.0,5.0,115.0,111.4,101.8,8-5
Los Angeles Lakers,14,116.3,10.0,4.0,116.9,115.0,99.5,10-4
Utah Jazz,12,116.3,4.0,8.0,114.3,119.6,100.9,4-8
Orlando Magic,13,115.7,7.0,6.0,114.9,113.0,100.6,7-6
Golden State Warriors,14,115.1,8.0,6.0,113.8,113.3,100.4,8-6
Washington Wizards,12,113.5,1.0,11.0,108.5,124.0,102.8,1-11
Sacramento Kings,13,113.2,3.0,10.0,110.4,121.5,102.5,3-10
Boston Celtics,13,113.2,6.0,7.0,117.6,112.7,96.3,6-7
Memphis Grizzlies,14,111.9,4.0,10.0,109.3,117.0,102.4,4-10
Los Angeles Clippers,12,111.5,4.0,8.0,113.7,118.7,96.4,4-8
Dallas Mavericks,13,109.2,3.0,10.0,104.6,110.8,102.8,3-10
Brooklyn Nets,12,108.9,1.0,11.0,110.7,125.3,98.4,1-11
Indiana Pacers,13,108.7,1.0,12.0,105.0,119.0,101.8,1-12
New Orleans Pelicans,12,108.4,2.0,10.0,110.1,123.2,97.6,2-10
