prediction_date,game,away_team,home_team,minimum_total,mc_probability,mc_decision,actual_total,result,buffer
2025-11-27,Cleveland Cavaliers @ Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,217.5,85.06,YES,253.0,WIN,35.5
2025-11-27,Orlando Magic @ Detroit Pistons,Orlando Magic,Detroit Pistons,213.5,94.61,STRONG_YES,221.0,WIN,7.5
2025-11-27,Milwaukee Bucks @ New York Knicks,Milwaukee Bucks,New York Knicks,213.5,90.4,YES,227.0,WIN,13.5
2025-11-27,San Antonio Spurs @ Denver Nuggets,San Antonio Spurs,Denver Nuggets,214.5,98.71,STRONG_YES,275.0,WIN,60.5
2025-11-27,Phoenix Suns @ Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,205.5,96.43,STRONG_YES,242.0,WIN,36.5
2025-11-27,Dallas Mavericks @ Los Angeles Lakers,Dallas Mavericks,Los Angeles Lakers,208.5,85.31,YES,248.0,WIN,39.5
2025-11-28,Orlando Magic @ Detroit Pistons,Orlando Magic,Detroit Pistons,,99.81,STRONG_YES,221.0,LOSS,
2025-12-01,Atlanta Hawks @ Detroit Pistons,Atlanta Hawks,Detroit Pistons,,99.82,STRONG_YES,,PENDING,
2025-11-27,Orlando Magic @ Detroit Pistons,Orlando Magic,Detroit Pistons,215.5,93.16,STRONG_YES,221.0,WIN,5.5
2025-11-27,San Antonio Spurs @ Denver Nuggets,San Antonio Spurs,Denver Nuggets,215.5,98.34,STRONG_YES,275.0,WIN,59.5
2025-11-27,Phoenix Suns @ Oklahoma City Thunder,Phoenix Suns,Oklahoma City Thunder,206.5,96.11,STRONG_YES,242.0,WIN,35.5
2025-11-27,Cleveland Cavaliers @ Atlanta Hawks,Cleveland Cavaliers,Atlanta Hawks,216.5,86.35,YES,253.0,WIN,36.5
2025-11-27,Philadelphia 76ers @ Brooklyn Nets,Philadelphia 76ers,Brooklyn Nets,206.5,90.25,YES,218.0,WIN,11.5
2025-11-27,Orlando Magic @ Detroit Pistons,Orlando Magic,Detroit Pistons,211.5,96.04,STRONG_YES,221.0,WIN,9.5
2025-11-27,Memphis Grizzlies @ Los Angeles Clippers,Memphis Grizzlies,Los Angeles Clippers,205.5,85.04,YES,219.0,WIN,13.5
