date,game,away_team,home_team,minimum_line,decision,confidence,actual_total,result,buffer
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,MAYBE,83.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,NO,73.0,224.0,WIN,5.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,63.0,239.0,WIN,31.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,NO,63.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,NO,63.0,233.0,WIN,33.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,214.5,NO,36.0,228.0,WIN,13.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,MAYBE,83.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,NO,73.0,224.0,WIN,5.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,NO,67.0,233.0,WIN,33.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,63.0,239.0,WIN,31.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,NO,63.0,225.0,WIN,13.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,212.5,NO,41.0,228.0,WIN,15.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,MAYBE,83.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,NO,73.0,224.0,WIN,5.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,NO,67.0,233.0,WIN,33.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,63.0,239.0,WIN,31.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,NO,63.0,225.0,WIN,13.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,212.5,NO,41.0,228.0,WIN,15.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,YES,88.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,YES,88.0,224.0,WIN,5.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,MAYBE,78.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,MAYBE,75.0,233.0,WIN,33.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,68.0,239.0,WIN,31.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,211.5,NO,53.0,228.0,WIN,16.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,YES,88.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,YES,88.0,224.0,WIN,5.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,MAYBE,78.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,MAYBE,75.0,233.0,WIN,33.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,68.0,239.0,WIN,31.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,211.5,NO,53.0,228.0,WIN,16.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,YES,88.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,YES,88.0,224.0,WIN,5.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,MAYBE,78.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,199.5,MAYBE,75.0,233.0,WIN,33.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,68.0,239.0,WIN,31.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,211.5,NO,53.0,228.0,WIN,16.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,YES,88.0,238.0,WIN,22.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,YES,88.0,224.0,WIN,5.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,MAYBE,78.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,197.5,MAYBE,75.0,233.0,WIN,35.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,68.0,239.0,WIN,31.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,208.5,NO,58.0,228.0,WIN,19.5
2025-11-04,Philadelphia 76ers @ Chicago Bulls,Philadelphia 76ers,Chicago Bulls,218.5,YES,88.0,224.0,WIN,5.5
2025-11-04,Milwaukee Bucks @ Toronto Raptors,Milwaukee Bucks,Toronto Raptors,215.5,YES,83.0,238.0,WIN,22.5
2025-11-04,Phoenix Suns @ Golden State Warriors,Phoenix Suns,Golden State Warriors,211.5,MAYBE,78.0,225.0,WIN,13.5
2025-11-04,Oklahoma City Thunder @ Los Angeles Clippers,Oklahoma City Thunder,Los Angeles Clippers,197.5,MAYBE,70.0,233.0,WIN,35.5
2025-11-04,Orlando Magic @ Atlanta Hawks,Orlando Magic,Atlanta Hawks,207.5,NO,68.0,239.0,WIN,31.5
2025-11-04,Charlotte Hornets @ New Orleans Pelicans,Charlotte Hornets,New Orleans Pelicans,208.5,NO,58.0,228.0,WIN,19.5
2025-11-05,Miami Heat @ Denver Nuggets,Miami Heat,Denver Nuggets,220.5,YES,92.0,234.0,WIN,13.5
2025-11-05,Utah Jazz @ Detroit Pistons,Utah Jazz,Detroit Pistons,210.5,YES,90.0,217.0,WIN,6.5
2025-11-05,Philadelphia 76ers @ Cleveland Cavaliers,Philadelphia 76ers,Cleveland Cavaliers,214.5,YES,83.0,253.0,WIN,38.5
2025-11-05,Oklahoma City Thunder @ Portland Trail Blazers,Oklahoma City Thunder,Portland Trail Blazers,208.5,YES,83.0,238.0,WIN,29.5
2025-11-05,Houston Rockets @ Memphis Grizzlies,Houston Rockets,Memphis Grizzlies,211.5,YES,82.0,233.0,WIN,21.5
2025-11-05,Minnesota Timberwolves @ New York Knicks,Minnesota Timberwolves,New York Knicks,205.5,MAYBE,78.0,251.0,WIN,45.5
2025-11-05,San Antonio Spurs @ Los Angeles Lakers,San Antonio Spurs,Los Angeles Lakers,205.5,MAYBE,78.0,234.0,WIN,28.5
2025-11-05,Golden State Warriors @ Sacramento Kings,Golden State Warriors,Sacramento Kings,203.5,NO,65.0,237.0,WIN,33.5
2025-11-05,Washington Wizards @ Boston Celtics,Washington Wizards,Boston Celtics,210.5,NO,62.0,243.0,WIN,32.5
2025-11-05,Brooklyn Nets @ Indiana Pacers,Brooklyn Nets,Indiana Pacers,211.5,NO,54.0,215.0,WIN,3.5
2025-11-05,New Orleans Pelicans @ Dallas Mavericks,New Orleans Pelicans,Dallas Mavericks,206.5,NO,45.0,233.0,WIN,26.5
2025-11-08,Toronto Raptors @ Philadelphia 76ers,Toronto Raptors,Philadelphia 76ers,215.5,YES,87.0,250.0,WIN,34.5
2025-11-08,Portland Trail Blazers @ Miami Heat,Portland Trail Blazers,Miami Heat,219.5,YES,87.0,267.0,WIN,47.5
2025-11-08,Chicago Bulls @ Cleveland Cavaliers,Chicago Bulls,Cleveland Cavaliers,217.5,MAYBE,78.0,250.0,WIN,32.5
2025-11-08,Los Angeles Lakers @ Atlanta Hawks,Los Angeles Lakers,Atlanta Hawks,208.5,MAYBE,77.0,224.0,WIN,15.5
2025-11-08,Indiana Pacers @ Denver Nuggets,Indiana Pacers,Denver Nuggets,213.5,MAYBE,73.0,217.0,WIN,3.5
2025-11-08,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,206.5,NO,60.0,231.0,WIN,24.5
2025-11-08,New Orleans Pelicans @ San Antonio Spurs,New Orleans Pelicans,San Antonio Spurs,202.5,NO,53.0,245.0,WIN,42.5
2025-11-08,Dallas Mavericks @ Washington Wizards,Dallas Mavericks,Washington Wizards,207.5,NO,44.0,216.0,WIN,8.5
2025-11-09,Houston Rockets @ Milwaukee Bucks,Houston Rockets,Milwaukee Bucks,210.5,YES,92.0,237.0,WIN,26.5
2025-11-09,Detroit Pistons @ Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers,210.5,YES,87.0,219.0,WIN,8.5
2025-11-09,Minnesota Timberwolves @ Sacramento Kings,Minnesota Timberwolves,Sacramento Kings,214.5,YES,83.0,229.0,WIN,14.5
2025-11-09,Brooklyn Nets @ New York Knicks,Brooklyn Nets,New York Knicks,206.5,YES,82.0,232.0,WIN,25.5
2025-11-09,Boston Celtics @ Orlando Magic,Boston Celtics,Orlando Magic,206.5,MAYBE,72.0,233.0,WIN,26.5
2025-11-09,Oklahoma City Thunder @ Memphis Grizzlies,Oklahoma City Thunder,Memphis Grizzlies,211.5,MAYBE,70.0,214.0,WIN,2.5
2025-11-09,Indiana Pacers @ Golden State Warriors,Indiana Pacers,Golden State Warriors,207.5,NO,52.0,197.0,LOSS,-10.5
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,Los Angeles Lakers,Charlotte Hornets,208.5,YES,88.0,232.0,WIN,23.5
2025-11-10,San Antonio Spurs @ Chicago Bulls,San Antonio Spurs,Chicago Bulls,213.5,YES,88.0,238.0,WIN,24.5
2025-11-10,Cleveland Cavaliers @ Miami Heat,Cleveland Cavaliers,Miami Heat,225.5,YES,83.0,278.0,WIN,52.5
2025-11-10,Portland Trail Blazers @ Orlando Magic,Portland Trail Blazers,Orlando Magic,213.5,MAYBE,78.0,227.0,WIN,13.5
2025-11-10,Minnesota Timberwolves @ Utah Jazz,Minnesota Timberwolves,Utah Jazz,212.5,NO,67.0,233.0,WIN,20.5
2025-11-10,Washington Wizards @ Detroit Pistons,Washington Wizards,Detroit Pistons,213.5,NO,62.0,272.0,WIN,58.5
