date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.5,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.8) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,218.0,NO,64,64,218.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (102.4) | Atlanta Hawks hot (WARM)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,211.0,NO,63,63,255.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.5) | Both teams neutral form
2025-10-24,Boston Celtics @ New York Knicks,212.0,NO,57,57,200.0,False,SKIPPED,Strong offense (avg ORtg: 116.0) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-10-24,Detroit Pistons @ Houston Rockets,225.5,YES,85,85,226.0,True,WIN,Elite offense (avg ORtg: 119.7) | Above average pace (98.8) | Both teams hot (HOT/HOT)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.0,NO,56,56,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.1) | Average pace (97.8) | Both teams neutral form
2025-10-24,Phoenix Suns @ Los Angeles Clippers,213.5,NO,55,55,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Above average pace (98.8) | Good buffer (15.1 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,217.0,MAYBE,74,74,209.0,False,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.3) | Utah Jazz hot (HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,223.0,NO,57,57,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (102.0) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,221.5,MAYBE,73,73,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-24,Washington Wizards @ Dallas Mavericks,205.0,NO,62,62,224.0,True,SKIPPED,Fast pace (104.0) | Both teams hot (HOT/HOT) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,224.5,MAYBE,70,70,260.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (103.8) | Both teams neutral form
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.0,NO,56,56,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.1) | Average pace (97.8) | Both teams neutral form
2025-10-24,Detroit Pistons @ Houston Rockets,225.5,YES,85,85,226.0,True,WIN,Elite offense (avg ORtg: 119.7) | Above average pace (98.8) | Both teams hot (HOT/HOT)
2025-10-24,Boston Celtics @ New York Knicks,212.0,NO,57,57,200.0,False,SKIPPED,Strong offense (avg ORtg: 116.0) | Average pace (97.8) | Boston Celtics hot (HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,218.0,NO,64,64,218.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (102.4) | Atlanta Hawks hot (WARM)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,211.0,NO,63,63,255.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (100.5) | Both teams neutral form
2025-10-24,Miami Heat @ Memphis Grizzlies,224.5,MAYBE,70,70,260.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (103.8) | Both teams neutral form
2025-10-24,Washington Wizards @ Dallas Mavericks,205.0,NO,62,62,224.0,True,SKIPPED,Fast pace (104.0) | Both teams hot (HOT/HOT) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,213.5,NO,55,55,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Above average pace (98.8) | Good buffer (15.1 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,217.0,MAYBE,74,74,209.0,False,SKIPPED,Strong offense (avg ORtg: 114.7) | Fast pace (100.3) | Utah Jazz hot (HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,223.0,NO,57,57,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Fast pace (102.0) | Moderate buffer (14.9 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,221.5,MAYBE,73,73,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.5,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.8) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,219.5,MAYBE,77,77,213.0,False,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-31,New York Knicks @ Chicago Bulls,221.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 118.0) | Fast pace (100.3) | Both teams neutral form
2025-10-31,Boston Celtics @ Philadelphia 76ers,219.0,MAYBE,77,77,217.0,False,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (98.5) | Boston Celtics hot (HOT)
2025-10-31,New York Knicks @ Chicago Bulls,221.5,YES,83,83,260.0,True,WIN,Elite offense (avg ORtg: 118.0) | Fast pace (100.3) | Both teams neutral form
2025-10-31,Utah Jazz @ Phoenix Suns,217.5,NO,67,67,214.0,False,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (99.9) | Utah Jazz hot (HOT)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.5,YES,84,84,216.0,False,LOSS,Elite offense (avg ORtg: 119.2) | Fast pace (102.0) | Denver Nuggets hot (WARM)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,205.5,NO,38,38,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.7) | Average pace (97.2) | Good buffer (15.1 pts above minimum)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.5,YES,84,84,216.0,False,LOSS,Elite offense (avg ORtg: 119.2) | Fast pace (102.0) | Denver Nuggets hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,217.5,NO,67,67,214.0,False,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (99.9) | Utah Jazz hot (HOT)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,220.5,YES,80,80,229.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.4) | Both teams neutral form
2025-10-31,Boston Celtics @ Philadelphia 76ers,219.0,MAYBE,77,77,217.0,False,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (98.5) | Boston Celtics hot (HOT)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,219.5,MAYBE,77,77,213.0,False,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,214.5,NO,65,65,236.0,True,SKIPPED,Fast pace (102.1) | Both teams hot (WARM/WARM) | Good buffer (15.0 pts above minimum)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,220.5,YES,80,80,229.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (101.4) | Both teams neutral form
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,205.5,NO,38,38,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.7) | Average pace (97.2) | Good buffer (15.1 pts above minimum)
2025-10-31,Atlanta Hawks @ Indiana Pacers,214.5,NO,65,65,236.0,True,SKIPPED,Fast pace (102.1) | Both teams hot (WARM/WARM) | Good buffer (15.0 pts above minimum)
2025-11-03,Miami Heat @ Los Angeles Clippers,220.5,MAYBE,70,70,239.0,True,SKIPPED,Elite offense (avg ORtg: 116.4) | Fast pace (101.2) | Good buffer (15.1 pts above minimum)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,225.0,MAYBE,78,78,238.0,True,SKIPPED,Elite offense (avg ORtg: 117.4) | Fast pace (102.2) | Both teams neutral form
2025-11-03,Sacramento Kings @ Denver Nuggets,226.5,YES,84,84,254.0,True,WIN,Elite offense (avg ORtg: 118.7) | Fast pace (100.8) | Denver Nuggets hot (WARM)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,216.5,NO,59,59,220.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.9) | Fast pace (101.6) | Detroit Pistons hot (HOT)
2025-11-03,Dallas Mavericks @ Houston Rockets,217.0,YES,85,85,212.0,False,LOSS,Strong offense (avg ORtg: 114.3) | Fast pace (100.0) | Both teams hot (HOT/HOT)
2025-11-03,Washington Wizards @ New York Knicks,214.0,NO,49,49,221.0,True,SKIPPED,Fast pace (101.9) | Washington Wizards hot (HOT) | Moderate buffer (14.9 pts above minimum)
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,214.0,NO,55,55,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Above average pace (99.0) | Both teams neutral form
2025-11-03,Milwaukee Bucks @ Indiana Pacers,218.0,NO,64,64,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.6) | Fast pace (102.0) | Indiana Pacers hot (WARM)
2025-11-03,Utah Jazz @ Boston Celtics,211.0,NO,63,63,208.0,False,SKIPPED,Strong offense (avg ORtg: 114.7) | Average pace (97.8) | Both teams hot (HOT/HOT)
2025-11-03,Washington Wizards @ New York Knicks,214.0,NO,49,49,221.0,True,SKIPPED,Fast pace (101.9) | Washington Wizards hot (HOT) | Moderate buffer (14.9 pts above minimum)
2025-11-03,Dallas Mavericks @ Houston Rockets,217.0,YES,85,85,212.0,False,LOSS,Strong offense (avg ORtg: 114.3) | Fast pace (100.0) | Both teams hot (HOT/HOT)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,216.5,NO,59,59,220.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.9) | Fast pace (101.6) | Detroit Pistons hot (HOT)
2025-11-03,Sacramento Kings @ Denver Nuggets,226.5,YES,84,84,254.0,True,WIN,Elite offense (avg ORtg: 118.7) | Fast pace (100.8) | Denver Nuggets hot (WARM)
2025-11-03,Los Angeles Lakers @ Portland Trail Blazers,225.0,MAYBE,78,78,238.0,True,SKIPPED,Elite offense (avg ORtg: 117.4) | Fast pace (102.2) | Both teams neutral form
