date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,223.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Fast pace (100.6) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Toronto Raptors @ Atlanta Hawks,218.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 114.8) | Fast pace (101.9) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,MAYBE,77,77,232.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (100.0) | Detroit Pistons hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,226.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 120.5) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,45,45,222.0,True,SKIPPED,Fast pace (102.6) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-07,Charlotte Hornets @ Miami Heat,227.0,YES,80,80,234.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (103.2) | Both teams neutral form
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.5,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (102.0) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,216.0,NO,64,64,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.6) | Utah Jazz hot (HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,226.0,NO,65,65,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.3) | Above average pace (99.9) | Good buffer (15.2 pts above minimum)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,217.0,NO,67,67,262.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (102.8) | Washington Wizards hot (HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,226.0,NO,65,65,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.3) | Above average pace (99.9) | Good buffer (15.2 pts above minimum)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,217.0,NO,67,67,262.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.2) | Fast pace (102.8) | Washington Wizards hot (HOT)
2025-11-07,Toronto Raptors @ Atlanta Hawks,218.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 114.8) | Fast pace (101.9) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,MAYBE,77,77,232.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (100.0) | Detroit Pistons hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,226.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 120.5) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,45,45,222.0,True,SKIPPED,Fast pace (102.6) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-07,Charlotte Hornets @ Miami Heat,227.0,YES,80,80,234.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (103.2) | Both teams neutral form
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.5,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (102.0) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,216.0,NO,64,64,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.6) | Utah Jazz hot (HOT)
2025-11-07,Boston Celtics @ Orlando Magic,215.0,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Above average pace (99.6) | Boston Celtics hot (HOT)
2025-11-07,Boston Celtics @ Orlando Magic,215.0,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Above average pace (99.6) | Boston Celtics hot (HOT)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,223.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Fast pace (100.6) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,223.0,MAYBE,70,70,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.6) | Fast pace (103.8) | Both teams neutral form
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.6) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,216.5,NO,64,64,218.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Fast pace (102.2) | Atlanta Hawks hot (HOT)
