date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-07,Chicago Bulls @ Milwaukee Bucks,225.0,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (102.0) | Both teams neutral form
2025-11-07,Charlotte Hornets @ Miami Heat,228.0,YES,83,83,234.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (103.6) | Both teams neutral form
2025-11-07,Golden State Warriors @ Denver Nuggets,225.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 118.8) | Fast pace (100.0) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Utah Jazz @ Minnesota Timberwolves,216.0,NO,64,64,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.6) | Utah Jazz hot (HOT)
2025-11-07,Boston Celtics @ Orlando Magic,215.0,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Above average pace (99.6) | Boston Celtics hot (HOT)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,217.0,NO,67,67,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-11-07,Toronto Raptors @ Atlanta Hawks,219.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 115.3) | Fast pace (101.7) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,MAYBE,77,77,232.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (100.0) | Detroit Pistons hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,227.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.0) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.5,NO,45,45,222.0,True,SKIPPED,Fast pace (102.5) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-07,Charlotte Hornets @ Miami Heat,228.0,YES,83,83,234.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (103.6) | Both teams neutral form
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,223.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Fast pace (100.6) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Utah Jazz @ Minnesota Timberwolves,216.0,NO,64,64,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.6) | Utah Jazz hot (HOT)
2025-11-07,Toronto Raptors @ Atlanta Hawks,219.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 115.3) | Fast pace (101.7) | Both teams hot (HOT/HOT)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,217.0,NO,67,67,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.5) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,225.0,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (102.0) | Both teams neutral form
2025-11-07,Houston Rockets @ San Antonio Spurs,227.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.0) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.5,NO,45,45,222.0,True,SKIPPED,Fast pace (102.5) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,MAYBE,77,77,232.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (100.0) | Detroit Pistons hot (WARM)
2025-11-07,Boston Celtics @ Orlando Magic,215.0,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.5) | Above average pace (99.6) | Boston Celtics hot (HOT)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,223.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Fast pace (100.6) | Moderate buffer (14.8 pts above minimum)
2025-11-07,Golden State Warriors @ Denver Nuggets,225.5,MAYBE,72,72,233.0,True,SKIPPED,Elite offense (avg ORtg: 118.8) | Fast pace (100.0) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,221.5,MAYBE,73,73,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-24,Washington Wizards @ Dallas Mavericks,203.0,NO,57,57,224.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,212.0,NO,57,57,209.0,False,SKIPPED,Fast pace (101.1) | Utah Jazz hot (HOT) | Good buffer (15.2 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,211.0,NO,48,48,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Average pace (97.3) | Good buffer (15.1 pts above minimum)
2025-10-24,Detroit Pistons @ Houston Rockets,224.5,YES,85,85,226.0,True,WIN,Elite offense (avg ORtg: 119.2) | Above average pace (99.2) | Both teams hot (WARM/HOT)
2025-10-24,Boston Celtics @ New York Knicks,217.0,MAYBE,75,75,200.0,False,SKIPPED,Elite offense (avg ORtg: 118.5) | Average pace (97.8) | Both teams hot (HOT/WARM)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,217.0,MAYBE,73,73,255.0,True,SKIPPED,Strong offense (avg ORtg: 115.2) | Fast pace (100.7) | Both teams neutral form
2025-10-24,Atlanta Hawks @ Orlando Magic,217.0,NO,67,67,218.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (101.9) | Atlanta Hawks hot (HOT)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,222.5,NO,60,60,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (102.5) | Good buffer (15.2 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,224.0,MAYBE,73,73,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (104.2) | Both teams neutral form
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,213.0,NO,55,55,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.2) | Good buffer (15.2 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,224.0,MAYBE,73,73,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (104.2) | Both teams neutral form
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,217.0,MAYBE,73,73,255.0,True,SKIPPED,Strong offense (avg ORtg: 115.2) | Fast pace (100.7) | Both teams neutral form
2025-10-24,Washington Wizards @ Dallas Mavericks,203.0,NO,57,57,224.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,221.5,MAYBE,73,73,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Above average pace (99.8) | Both teams neutral form
2025-10-24,Golden State Warriors @ Portland Trail Blazers,222.5,NO,60,60,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Fast pace (102.5) | Good buffer (15.2 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,212.0,NO,57,57,209.0,False,SKIPPED,Fast pace (101.1) | Utah Jazz hot (HOT) | Good buffer (15.2 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,211.0,NO,48,48,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.4) | Average pace (97.3) | Good buffer (15.1 pts above minimum)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,225.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.5) | Fast pace (102.0) | Toronto Raptors hot (HOT)
2025-10-24,Boston Celtics @ New York Knicks,217.0,MAYBE,75,75,200.0,False,SKIPPED,Elite offense (avg ORtg: 118.5) | Average pace (97.8) | Both teams hot (HOT/WARM)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,213.0,NO,55,55,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Above average pace (98.2) | Good buffer (15.2 pts above minimum)
2025-10-24,Detroit Pistons @ Houston Rockets,224.5,YES,85,85,226.0,True,WIN,Elite offense (avg ORtg: 119.2) | Above average pace (99.2) | Both teams hot (WARM/HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,217.0,NO,67,67,218.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (101.9) | Atlanta Hawks hot (HOT)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,204.0,NO,35,35,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.3) | Average pace (96.8) | Moderate buffer (14.8 pts above minimum)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,231.0,YES,80,80,216.0,False,LOSS,Elite offense (avg ORtg: 119.2) | Fast pace (102.5) | Both teams neutral form
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,218.0,MAYBE,70,70,229.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (101.3) | Both teams neutral form
2025-10-31,New York Knicks @ Chicago Bulls,223.5,YES,84,84,260.0,True,WIN,Elite offense (avg ORtg: 119.0) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,225.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.7) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,Utah Jazz @ Phoenix Suns,213.5,NO,57,57,214.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (99.4) | Utah Jazz hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,210.5,NO,65,65,236.0,True,SKIPPED,Fast pace (101.8) | Both teams hot (HOT/WARM) | Good buffer (15.0 pts above minimum)
2025-10-31,Boston Celtics @ Philadelphia 76ers,222.0,MAYBE,77,77,217.0,False,SKIPPED,Elite offense (avg ORtg: 119.0) | Above average pace (99.0) | Boston Celtics hot (HOT)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,225.0,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.7) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,New York Knicks @ Chicago Bulls,223.5,YES,84,84,260.0,True,WIN,Elite offense (avg ORtg: 119.0) | Fast pace (100.2) | New York Knicks hot (WARM)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,218.0,MAYBE,70,70,229.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (101.3) | Both teams neutral form
2025-10-31,Utah Jazz @ Phoenix Suns,213.5,NO,57,57,214.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (99.4) | Utah Jazz hot (HOT)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,231.0,YES,80,80,216.0,False,LOSS,Elite offense (avg ORtg: 119.2) | Fast pace (102.5) | Both teams neutral form
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,204.0,NO,35,35,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.3) | Average pace (96.8) | Moderate buffer (14.8 pts above minimum)
2025-10-31,Boston Celtics @ Philadelphia 76ers,222.0,MAYBE,77,77,217.0,False,SKIPPED,Elite offense (avg ORtg: 119.0) | Above average pace (99.0) | Boston Celtics hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,210.5,NO,65,65,236.0,True,SKIPPED,Fast pace (101.8) | Both teams hot (HOT/WARM) | Good buffer (15.0 pts above minimum)
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,215.0,NO,58,58,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.3) | Both teams neutral form
2025-11-03,Milwaukee Bucks @ Indiana Pacers,216.0,NO,54,54,232.0,True,SKIPPED,Fast pace (102.1) | Indiana Pacers hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-03,Dallas Mavericks @ Houston Rockets,214.5,NO,64,64,212.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (100.2) | Houston Rockets hot (HOT)
2025-11-03,Utah Jazz @ Boston Celtics,210.0,NO,60,60,208.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-03,Washington Wizards @ New York Knicks,215.5,NO,67,67,221.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Fast pace (101.0) | Both teams hot (HOT/WARM)
