date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,222.5,NO,65,65,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (100.8) | Good buffer (15.2 pts above minimum)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,221.0,NO,64,64,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-11-07,Toronto Raptors @ Atlanta Hawks,218.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 115.2) | Fast pace (101.3) | Both teams hot (HOT/HOT)
2025-11-07,Toronto Raptors @ Atlanta Hawks,218.5,YES,85,85,206.0,False,LOSS,Strong offense (avg ORtg: 115.2) | Fast pace (101.3) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Above average pace (99.8) | Brooklyn Nets hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,227.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.3) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,54,54,222.0,True,SKIPPED,Fast pace (102.4) | Memphis Grizzlies hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-07,Charlotte Hornets @ Miami Heat,228.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (103.1) | Charlotte Hornets hot (WARM)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.0,YES,80,80,236.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (101.8) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,218.5,YES,84,84,234.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (100.1) | Utah Jazz hot (HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,225.0,YES,83,83,233.0,True,WIN,Elite offense (avg ORtg: 118.7) | Fast pace (100.1) | Both teams neutral form
2025-11-07,Boston Celtics @ Orlando Magic,213.5,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Above average pace (99.0) | Boston Celtics hot (HOT)
2025-11-07,Houston Rockets @ San Antonio Spurs,227.0,MAYBE,77,77,231.0,True,SKIPPED,Elite offense (avg ORtg: 121.3) | Above average pace (98.2) | Houston Rockets hot (HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,213.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.6) | Above average pace (99.8) | Brooklyn Nets hot (WARM)
2025-11-07,Charlotte Hornets @ Miami Heat,228.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.7) | Fast pace (103.1) | Charlotte Hornets hot (WARM)
2025-11-07,Boston Celtics @ Orlando Magic,213.5,NO,67,67,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Above average pace (99.0) | Boston Celtics hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,54,54,222.0,True,SKIPPED,Fast pace (102.4) | Memphis Grizzlies hot (WARM) | Moderate buffer (14.9 pts above minimum)
2025-11-07,Golden State Warriors @ Denver Nuggets,225.0,YES,83,83,233.0,True,WIN,Elite offense (avg ORtg: 118.7) | Fast pace (100.1) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,218.5,YES,84,84,234.0,True,WIN,Elite offense (avg ORtg: 116.0) | Fast pace (100.1) | Utah Jazz hot (HOT)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,222.5,NO,65,65,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.7) | Fast pace (100.8) | Good buffer (15.2 pts above minimum)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,224.0,YES,80,80,236.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (101.8) | Both teams neutral form
2025-11-07,Cleveland Cavaliers @ Washington Wizards,221.0,NO,64,64,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Fast pace (102.7) | Washington Wizards hot (HOT)
2025-10-24,Golden State Warriors @ Portland Trail Blazers,221.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.1) | Fast pace (102.2) | Portland Trail Blazers hot (WARM)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,224.5,NO,62,62,238.0,True,SKIPPED,Elite offense (avg ORtg: 119.8) | Above average pace (100.0) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Washington Wizards @ Dallas Mavericks,206.0,NO,54,54,224.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Miami Heat @ Memphis Grizzlies,224.0,MAYBE,77,77,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Fast pace (103.9) | Memphis Grizzlies hot (WARM)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.5,NO,60,60,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.4) | Above average pace (98.3) | Both teams neutral form
2025-10-24,Detroit Pistons @ Houston Rockets,226.0,MAYBE,74,74,226.0,False,SKIPPED,Elite offense (avg ORtg: 119.6) | Above average pace (99.1) | Houston Rockets hot (HOT)
2025-10-24,Boston Celtics @ New York Knicks,218.5,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 119.8) | Average pace (97.5) | Boston Celtics hot (HOT)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,217.5,MAYBE,74,74,255.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.5) | Brooklyn Nets hot (WARM)
2025-10-24,Atlanta Hawks @ Orlando Magic,215.0,NO,67,67,218.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (101.0) | Atlanta Hawks hot (HOT)
2025-10-24,Utah Jazz @ Sacramento Kings,212.5,NO,57,57,209.0,False,SKIPPED,Fast pace (101.3) | Utah Jazz hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,210.5,NO,48,48,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Average pace (97.2) | Good buffer (15.2 pts above minimum)
2025-10-24,Utah Jazz @ Sacramento Kings,212.5,NO,57,57,209.0,False,SKIPPED,Fast pace (101.3) | Utah Jazz hot (HOT) | Good buffer (15.0 pts above minimum)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,224.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (101.7) | Toronto Raptors hot (HOT)
2025-10-24,Phoenix Suns @ Los Angeles Clippers,210.5,NO,48,48,231.0,True,SKIPPED,Strong offense (avg ORtg: 115.6) | Average pace (97.2) | Good buffer (15.2 pts above minimum)
2025-10-24,Cleveland Cavaliers @ Brooklyn Nets,217.5,MAYBE,74,74,255.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (100.5) | Brooklyn Nets hot (WARM)
2025-10-24,Boston Celtics @ New York Knicks,218.5,NO,67,67,200.0,False,SKIPPED,Elite offense (avg ORtg: 119.8) | Average pace (97.5) | Boston Celtics hot (HOT)
2025-10-24,Detroit Pistons @ Houston Rockets,226.0,MAYBE,74,74,226.0,False,SKIPPED,Elite offense (avg ORtg: 119.6) | Above average pace (99.1) | Houston Rockets hot (HOT)
2025-10-24,Atlanta Hawks @ Orlando Magic,215.0,NO,67,67,218.0,True,SKIPPED,Above-avg offense (avg ORtg: 114.0) | Fast pace (101.0) | Atlanta Hawks hot (HOT)
2025-10-24,Miami Heat @ Memphis Grizzlies,224.0,MAYBE,77,77,260.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Fast pace (103.9) | Memphis Grizzlies hot (WARM)
2025-10-24,Washington Wizards @ Dallas Mavericks,206.0,NO,54,54,224.0,True,SKIPPED,Fast pace (103.0) | Washington Wizards hot (HOT) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,224.5,NO,62,62,238.0,True,SKIPPED,Elite offense (avg ORtg: 119.8) | Above average pace (100.0) | Moderate buffer (14.8 pts above minimum)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,224.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (101.7) | Toronto Raptors hot (HOT)
2025-10-24,San Antonio Spurs @ New Orleans Pelicans,212.5,NO,60,60,236.0,True,SKIPPED,Strong offense (avg ORtg: 114.4) | Above average pace (98.3) | Both teams neutral form
2025-10-24,Golden State Warriors @ Portland Trail Blazers,221.5,MAYBE,72,72,258.0,True,SKIPPED,Strong offense (avg ORtg: 115.1) | Fast pace (102.2) | Portland Trail Blazers hot (WARM)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,202.0,NO,25,25,250.0,True,SKIPPED,Average pace (96.7) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Atlanta Hawks @ Indiana Pacers,207.0,NO,62,62,236.0,True,SKIPPED,Fast pace (101.4) | Both teams hot (HOT/HOT) | Moderate buffer (14.9 pts above minimum)
2025-10-31,Boston Celtics @ Philadelphia 76ers,220.0,YES,85,85,217.0,False,LOSS,Elite offense (avg ORtg: 118.4) | Above average pace (98.8) | Both teams hot (HOT/WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,226.5,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,New York Knicks @ Chicago Bulls,225.0,YES,80,80,260.0,True,WIN,Elite offense (avg ORtg: 119.9) | Fast pace (100.1) | Both teams neutral form
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,217.0,MAYBE,74,74,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.9) | Fast pace (101.0) | Memphis Grizzlies hot (WARM)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.0,YES,84,84,216.0,False,LOSS,Elite offense (avg ORtg: 119.1) | Fast pace (102.2) | Portland Trail Blazers hot (WARM)
2025-10-31,New York Knicks @ Chicago Bulls,225.0,YES,80,80,260.0,True,WIN,Elite offense (avg ORtg: 119.9) | Fast pace (100.1) | Both teams neutral form
2025-10-31,Utah Jazz @ Phoenix Suns,214.0,NO,67,67,214.0,False,SKIPPED,Strong offense (avg ORtg: 114.1) | Above average pace (99.3) | Utah Jazz hot (HOT)
2025-10-31,Atlanta Hawks @ Indiana Pacers,207.0,NO,62,62,236.0,True,SKIPPED,Fast pace (101.4) | Both teams hot (HOT/HOT) | Moderate buffer (14.9 pts above minimum)
2025-10-31,Boston Celtics @ Philadelphia 76ers,220.0,YES,85,85,217.0,False,LOSS,Elite offense (avg ORtg: 118.4) | Above average pace (98.8) | Both teams hot (HOT/WARM)
2025-10-31,Toronto Raptors @ Cleveland Cavaliers,226.5,YES,87,87,213.0,False,LOSS,Elite offense (avg ORtg: 117.9) | Fast pace (101.9) | Toronto Raptors hot (HOT)
2025-10-31,New Orleans Pelicans @ Los Angeles Clippers,202.0,NO,25,25,250.0,True,SKIPPED,Average pace (96.7) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-10-31,Los Angeles Lakers @ Memphis Grizzlies,217.0,MAYBE,74,74,229.0,True,SKIPPED,Strong offense (avg ORtg: 114.9) | Fast pace (101.0) | Memphis Grizzlies hot (WARM)
2025-10-31,Utah Jazz @ Phoenix Suns,214.0,NO,67,67,214.0,False,SKIPPED,Strong offense (avg ORtg: 114.1) | Above average pace (99.3) | Utah Jazz hot (HOT)
2025-10-31,Denver Nuggets @ Portland Trail Blazers,230.0,YES,84,84,216.0,False,LOSS,Elite offense (avg ORtg: 119.1) | Fast pace (102.2) | Portland Trail Blazers hot (WARM)
2025-11-10,New Orleans Pelicans @ Phoenix Suns,210.0,NO,50,50,219.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Above average pace (98.2) | Both teams neutral form
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,212.0,NO,37,37,230.0,True,SKIPPED,Fast pace (102.1) | Moderate buffer (14.8 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,San Antonio Spurs @ Chicago Bulls,223.5,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 118.2) | Fast pace (100.4) | Both teams neutral form
2025-11-10,Cleveland Cavaliers @ Miami Heat,233.0,MAYBE,72,72,278.0,True,SKIPPED,Elite offense (avg ORtg: 118.2) | Fast pace (103.8) | Moderate buffer (14.8 pts above minimum)
2025-11-10,Portland Trail Blazers @ Orlando Magic,221.5,MAYBE,72,72,227.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (102.8) | Portland Trail Blazers hot (WARM)
2025-11-10,Washington Wizards @ Detroit Pistons,216.5,NO,52,52,272.0,True,SKIPPED,Fast pace (102.1) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,221.5,YES,84,84,232.0,True,WIN,Elite offense (avg ORtg: 118.0) | Fast pace (100.2) | Charlotte Hornets hot (WARM)
2025-11-10,New Orleans Pelicans @ Phoenix Suns,210.0,NO,50,50,219.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.3) | Above average pace (98.2) | Both teams neutral form
2025-11-10,Minnesota Timberwolves @ Utah Jazz,218.5,MAYBE,79,79,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Fast pace (100.1) | Utah Jazz hot (HOT)
2025-11-10,Los Angeles Lakers @ Charlotte Hornets,221.5,YES,84,84,232.0,True,WIN,Elite offense (avg ORtg: 118.0) | Fast pace (100.2) | Charlotte Hornets hot (WARM)
2025-11-10,Washington Wizards @ Detroit Pistons,216.5,NO,52,52,272.0,True,SKIPPED,Fast pace (102.1) | Washington Wizards hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-10,Portland Trail Blazers @ Orlando Magic,221.5,MAYBE,72,72,227.0,True,SKIPPED,Strong offense (avg ORtg: 115.0) | Fast pace (102.8) | Portland Trail Blazers hot (WARM)
2025-11-10,Cleveland Cavaliers @ Miami Heat,233.0,MAYBE,72,72,278.0,True,SKIPPED,Elite offense (avg ORtg: 118.2) | Fast pace (103.8) | Moderate buffer (14.8 pts above minimum)
2025-11-10,San Antonio Spurs @ Chicago Bulls,223.5,YES,83,83,238.0,True,WIN,Elite offense (avg ORtg: 118.2) | Fast pace (100.4) | Both teams neutral form
2025-11-10,Milwaukee Bucks @ Dallas Mavericks,212.0,NO,37,37,230.0,True,SKIPPED,Fast pace (102.1) | Moderate buffer (14.8 pts above minimum) | Milwaukee Bucks on back-to-back
2025-11-10,Minnesota Timberwolves @ Utah Jazz,218.5,MAYBE,79,79,233.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Fast pace (100.1) | Utah Jazz hot (HOT)
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,208.0,NO,57,57,207.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (98.2) | Atlanta Hawks hot (HOT)
2025-11-10,Atlanta Hawks @ Los Angeles Clippers,208.0,NO,57,57,207.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Above average pace (98.2) | Atlanta Hawks hot (HOT)
2025-11-03,Sacramento Kings @ Denver Nuggets,224.5,YES,83,83,254.0,True,WIN,Elite offense (avg ORtg: 117.6) | Fast pace (101.3) | Both teams neutral form
2025-11-03,Utah Jazz @ Boston Celtics,210.0,NO,60,60,208.0,False,SKIPPED,Above-avg offense (avg ORtg: 113.8) | Above average pace (98.3) | Both teams hot (HOT/HOT)
2025-11-03,Milwaukee Bucks @ Indiana Pacers,212.0,NO,57,57,232.0,True,SKIPPED,Fast pace (101.8) | Indiana Pacers hot (HOT) | Good buffer (15.2 pts above minimum)
2025-11-03,Minnesota Timberwolves @ Brooklyn Nets,216.0,MAYBE,72,72,234.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Above average pace (99.6) | Brooklyn Nets hot (WARM)
2025-11-03,Detroit Pistons @ Memphis Grizzlies,216.5,NO,62,62,220.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.7) | Fast pace (101.5) | Memphis Grizzlies hot (WARM)
2025-11-03,Washington Wizards @ New York Knicks,219.0,MAYBE,72,72,221.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (100.8) | Washington Wizards hot (HOT)
