date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,209.5,NO,45,45,222.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (98.5) | Good buffer (15.2 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,205.5,NO,35,35,260.0,True,SKIPPED,Above average pace (99.6) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,219.0,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.2) | Fast pace (101.5) | Sacramento Kings hot (WARM)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,220.5,MAYBE,77,77,281.0,True,SKIPPED,Elite offense (avg ORtg: 117.0) | Above average pace (99.9) | Charlotte Hornets hot (WARM)
2025-11-14,Portland Trail Blazers @ Houston Rockets,231.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 121.8) | Fast pace (100.2) | Both teams hot (WARM/HOT)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.5,YES,87,87,219.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (100.3) | Philadelphia 76ers hot (HOT)
2025-11-14,Brooklyn Nets @ Orlando Magic,209.5,NO,65,65,203.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Above average pace (99.5) | Both teams hot (WARM/HOT)
2025-11-14,Miami Heat @ New York Knicks,232.5,MAYBE,72,72,272.0,True,SKIPPED,Elite offense (avg ORtg: 120.2) | Fast pace (102.5) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Miami Heat @ New York Knicks,232.5,MAYBE,72,72,272.0,True,SKIPPED,Elite offense (avg ORtg: 120.2) | Fast pace (102.5) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.8) | Both teams neutral form
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.5,YES,87,87,219.0,False,LOSS,Elite offense (avg ORtg: 117.3) | Fast pace (100.3) | Philadelphia 76ers hot (HOT)
2025-11-14,Portland Trail Blazers @ Houston Rockets,231.0,YES,95,95,256.0,True,WIN,Elite offense (avg ORtg: 121.8) | Fast pace (100.2) | Both teams hot (WARM/HOT)
2025-11-14,Brooklyn Nets @ Orlando Magic,209.5,NO,65,65,203.0,False,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Above average pace (99.5) | Both teams hot (WARM/HOT)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,219.0,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 115.2) | Fast pace (101.5) | Sacramento Kings hot (WARM)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,209.5,NO,45,45,222.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (98.5) | Good buffer (15.2 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,205.5,NO,35,35,260.0,True,SKIPPED,Above average pace (99.6) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.0) | Above average pace (99.8) | Both teams neutral form
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,220.5,MAYBE,77,77,281.0,True,SKIPPED,Elite offense (avg ORtg: 117.0) | Above average pace (99.9) | Charlotte Hornets hot (WARM)
2025-11-07,Charlotte Hornets @ Miami Heat,227.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (102.5) | Charlotte Hornets hot (WARM)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,222.0,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.2) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.0,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,57,57,222.0,True,SKIPPED,Fast pace (102.6) | Memphis Grizzlies hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-07,Houston Rockets @ San Antonio Spurs,229.0,MAYBE,74,74,231.0,True,SKIPPED,Elite offense (avg ORtg: 122.2) | Above average pace (98.4) | Houston Rockets hot (HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,212.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (99.6) | Brooklyn Nets hot (WARM)
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.5,YES,95,95,206.0,False,LOSS,Elite offense (avg ORtg: 116.9) | Fast pace (101.6) | Both teams hot (HOT/HOT)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,219.5,NO,55,55,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.0) | Fast pace (102.5) | Good buffer (15.1 pts above minimum)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.0) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Boston Celtics @ Orlando Magic,214.0,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.2) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.0,MAYBE,74,74,233.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (100.8) | Sacramento Kings hot (WARM)
2025-11-07,Boston Celtics @ Orlando Magic,214.0,YES,82,82,233.0,True,WIN,Elite offense (avg ORtg: 116.2) | Above average pace (98.4) | Both teams hot (HOT/HOT)
2025-11-07,Golden State Warriors @ Denver Nuggets,224.5,MAYBE,73,73,233.0,True,SKIPPED,Elite offense (avg ORtg: 119.0) | Above average pace (99.8) | Both teams neutral form
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.5,YES,95,95,206.0,False,LOSS,Elite offense (avg ORtg: 116.9) | Fast pace (101.6) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,212.0,NO,57,57,232.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.5) | Above average pace (99.6) | Brooklyn Nets hot (WARM)
2025-11-07,Houston Rockets @ San Antonio Spurs,229.0,MAYBE,74,74,231.0,True,SKIPPED,Elite offense (avg ORtg: 122.2) | Above average pace (98.4) | Houston Rockets hot (HOT)
2025-11-07,Dallas Mavericks @ Memphis Grizzlies,206.0,NO,57,57,222.0,True,SKIPPED,Fast pace (102.6) | Memphis Grizzlies hot (HOT) | Good buffer (15.1 pts above minimum)
2025-11-07,Charlotte Hornets @ Miami Heat,227.5,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (102.5) | Charlotte Hornets hot (WARM)
2025-11-07,Chicago Bulls @ Milwaukee Bucks,222.0,YES,83,83,236.0,True,WIN,Elite offense (avg ORtg: 116.7) | Fast pace (101.2) | Both teams neutral form
2025-11-07,Utah Jazz @ Minnesota Timberwolves,222.0,YES,87,87,234.0,True,WIN,Elite offense (avg ORtg: 117.2) | Fast pace (100.8) | Utah Jazz hot (HOT)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.0,MAYBE,74,74,233.0,True,SKIPPED,Strong offense (avg ORtg: 114.8) | Fast pace (100.8) | Sacramento Kings hot (WARM)
2025-11-07,Cleveland Cavaliers @ Washington Wizards,219.5,NO,55,55,263.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.0) | Fast pace (102.5) | Good buffer (15.1 pts above minimum)
2025-10-24,Atlanta Hawks @ Orlando Magic,218.0,YES,82,82,218.0,False,LOSS,Strong offense (avg ORtg: 115.0) | Fast pace (101.2) | Both teams hot (HOT/HOT)
2025-10-24,Milwaukee Bucks @ Toronto Raptors,224.0,YES,84,84,238.0,True,WIN,Elite offense (avg ORtg: 118.0) | Fast pace (100.8) | Toronto Raptors hot (HOT)
2025-10-24,Minnesota Timberwolves @ Los Angeles Lakers,222.0,MAYBE,75,75,238.0,True,SKIPPED,Elite offense (avg ORtg: 118.5) | Fast pace (100.0) | Good buffer (15.0 pts above minimum)
2025-10-24,Washington Wizards @ Dallas Mavericks,207.5,NO,45,45,224.0,True,SKIPPED,Fast pace (102.8) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
