date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-14,Golden State Warriors @ San Antonio Spurs,219.0,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.5) | Above average pace (99.9) | Both teams neutral form
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,217.5,NO,67,67,281.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.6) | Charlotte Hornets hot (HOT)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,217.0,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (101.2) | Sacramento Kings hot (WARM)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,213.0,NO,52,52,222.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Above average pace (99.7) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,206.5,NO,32,32,260.0,True,SKIPPED,Above average pace (99.4) | Moderate buffer (14.8 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Golden State Warriors @ San Antonio Spurs,219.0,MAYBE,73,73,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.5) | Above average pace (99.9) | Both teams neutral form
2025-11-14,Brooklyn Nets @ Orlando Magic,212.5,MAYBE,75,75,203.0,False,SKIPPED,Strong offense (avg ORtg: 114.9) | Above average pace (98.7) | Both teams hot (WARM/WARM)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,206.5,NO,32,32,260.0,True,SKIPPED,Above average pace (99.4) | Moderate buffer (14.8 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Miami Heat @ New York Knicks,229.0,MAYBE,75,75,272.0,True,SKIPPED,Elite offense (avg ORtg: 118.7) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,213.0,NO,52,52,222.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Above average pace (99.7) | Moderate buffer (14.9 pts above minimum)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,217.0,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 114.0) | Fast pace (101.2) | Sacramento Kings hot (WARM)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,217.5,NO,67,67,281.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Above average pace (99.6) | Charlotte Hornets hot (HOT)
2025-11-14,Portland Trail Blazers @ Houston Rockets,226.5,YES,85,85,256.0,True,WIN,Elite offense (avg ORtg: 120.2) | Above average pace (99.2) | Both teams hot (WARM/WARM)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,223.0,YES,80,80,219.0,False,LOSS,Elite offense (avg ORtg: 117.7) | Fast pace (100.2) | Both teams neutral form
2025-11-14,Brooklyn Nets @ Orlando Magic,212.5,MAYBE,75,75,203.0,False,SKIPPED,Strong offense (avg ORtg: 114.9) | Above average pace (98.7) | Both teams hot (WARM/WARM)
2025-11-14,Miami Heat @ New York Knicks,229.0,MAYBE,75,75,272.0,True,SKIPPED,Elite offense (avg ORtg: 118.7) | Fast pace (102.7) | Good buffer (15.2 pts above minimum)
2025-11-14,Portland Trail Blazers @ Houston Rockets,226.5,YES,85,85,256.0,True,WIN,Elite offense (avg ORtg: 120.2) | Above average pace (99.2) | Both teams hot (WARM/WARM)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,223.0,YES,80,80,219.0,False,LOSS,Elite offense (avg ORtg: 117.7) | Fast pace (100.2) | Both teams neutral form
2025-11-21,Oklahoma City Thunder @ Utah Jazz,225.5,YES,87,87,256.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (100.5) | Utah Jazz hot (WARM)
2025-11-21,Indiana Pacers @ Cleveland Cavaliers,214.5,NO,60,60,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.0) | Fast pace (101.5) | Both teams neutral form
2025-11-21,Brooklyn Nets @ Boston Celtics,209.0,NO,65,65,218.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Average pace (96.7) | Both teams hot (WARM/HOT)
2025-11-21,Portland Trail Blazers @ Golden State Warriors,220.0,MAYBE,77,77,250.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.3) | Portland Trail Blazers hot (WARM)
2025-11-21,Minnesota Timberwolves @ Phoenix Suns,221.5,MAYBE,73,73,227.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (99.9) | Both teams neutral form
2025-11-21,Oklahoma City Thunder @ Utah Jazz,225.5,YES,87,87,256.0,True,WIN,Elite offense (avg ORtg: 117.3) | Fast pace (100.5) | Utah Jazz hot (WARM)
2025-11-21,New Orleans Pelicans @ Dallas Mavericks,205.0,NO,45,45,233.0,True,SKIPPED,Fast pace (100.7) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-21,Miami Heat @ Chicago Bulls,230.0,MAYBE,75,75,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Fast pace (104.5) | Good buffer (15.2 pts above minimum)
2025-11-21,Washington Wizards @ Toronto Raptors,218.5,MAYBE,74,74,250.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.5) | Toronto Raptors hot (HOT)
2025-11-21,Indiana Pacers @ Cleveland Cavaliers,214.5,NO,60,60,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.0) | Fast pace (101.5) | Both teams neutral form
2025-11-21,Brooklyn Nets @ Boston Celtics,209.0,NO,65,65,218.0,True,SKIPPED,Strong offense (avg ORtg: 115.8) | Average pace (96.7) | Both teams hot (WARM/HOT)
2025-11-21,Denver Nuggets @ Houston Rockets,231.0,MAYBE,70,70,221.0,False,SKIPPED,Elite offense (avg ORtg: 124.2) | Average pace (97.7) | Houston Rockets hot (WARM)
2025-11-21,Washington Wizards @ Toronto Raptors,218.5,MAYBE,74,74,250.0,True,SKIPPED,Strong offense (avg ORtg: 114.2) | Fast pace (101.5) | Toronto Raptors hot (HOT)
2025-11-21,New Orleans Pelicans @ Dallas Mavericks,205.0,NO,45,45,233.0,True,SKIPPED,Fast pace (100.7) | Good buffer (15.1 pts above minimum) | Both teams rested (2+ days)
2025-11-21,Minnesota Timberwolves @ Phoenix Suns,221.5,MAYBE,73,73,227.0,True,SKIPPED,Elite offense (avg ORtg: 117.8) | Above average pace (99.9) | Both teams neutral form
2025-11-21,Denver Nuggets @ Houston Rockets,231.0,MAYBE,70,70,221.0,False,SKIPPED,Elite offense (avg ORtg: 124.2) | Average pace (97.7) | Houston Rockets hot (WARM)
2025-11-21,Miami Heat @ Chicago Bulls,230.0,MAYBE,75,75,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.3) | Fast pace (104.5) | Good buffer (15.2 pts above minimum)
2025-11-21,Portland Trail Blazers @ Golden State Warriors,220.0,MAYBE,77,77,250.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (101.3) | Portland Trail Blazers hot (WARM)
2025-11-07,Oklahoma City Thunder @ Sacramento Kings,220.0,MAYBE,74,74,233.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Fast pace (100.4) | Sacramento Kings hot (WARM)
2025-11-07,Toronto Raptors @ Atlanta Hawks,222.5,YES,95,95,206.0,False,LOSS,Elite offense (avg ORtg: 117.8) | Fast pace (100.9) | Both teams hot (HOT/HOT)
2025-11-07,Detroit Pistons @ Brooklyn Nets,214.0,NO,64,64,232.0,True,SKIPPED,Strong offense (avg ORtg: 115.1) | Above average pace (99.0) | Brooklyn Nets hot (WARM)
