date,game,minimum,prediction,confidence,score,actual_total,went_over,result,reasoning
2025-11-14,Miami Heat @ New York Knicks,229.5,YES,87,87,272.0,True,WIN,Elite offense (avg ORtg: 119.6) | Fast pace (102.1) | New York Knicks hot (HOT)
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,NO,65,65,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.8) | Above average pace (99.6) | Good buffer (15.1 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,208.5,NO,32,32,260.0,True,SKIPPED,Above average pace (99.8) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,216.5,NO,55,55,222.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (99.3) | Good buffer (15.2 pts above minimum)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,217.5,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 114.4) | Fast pace (100.7) | Sacramento Kings hot (WARM)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,216.0,NO,67,67,281.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.2) | Charlotte Hornets hot (WARM)
2025-11-14,Portland Trail Blazers @ Houston Rockets,225.0,MAYBE,77,77,256.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (99.5) | Portland Trail Blazers hot (HOT)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.0,YES,83,83,219.0,False,LOSS,Elite offense (avg ORtg: 116.3) | Fast pace (100.5) | Both teams neutral form
2025-11-14,Brooklyn Nets @ Orlando Magic,213.5,NO,64,64,203.0,False,SKIPPED,Strong offense (avg ORtg: 114.9) | Above average pace (99.1) | Brooklyn Nets hot (WARM)
2025-11-14,Miami Heat @ New York Knicks,229.5,YES,87,87,272.0,True,WIN,Elite offense (avg ORtg: 119.6) | Fast pace (102.1) | New York Knicks hot (HOT)
2025-11-14,Brooklyn Nets @ Orlando Magic,213.5,NO,64,64,203.0,False,SKIPPED,Strong offense (avg ORtg: 114.9) | Above average pace (99.1) | Brooklyn Nets hot (WARM)
2025-11-14,Philadelphia 76ers @ Detroit Pistons,222.0,YES,83,83,219.0,False,LOSS,Elite offense (avg ORtg: 116.3) | Fast pace (100.5) | Both teams neutral form
2025-11-14,Portland Trail Blazers @ Houston Rockets,225.0,MAYBE,77,77,256.0,True,SKIPPED,Elite offense (avg ORtg: 119.4) | Above average pace (99.5) | Portland Trail Blazers hot (HOT)
2025-11-14,Charlotte Hornets @ Milwaukee Bucks,216.0,NO,67,67,281.0,True,SKIPPED,Strong offense (avg ORtg: 115.3) | Above average pace (99.2) | Charlotte Hornets hot (WARM)
2025-11-14,Sacramento Kings @ Minnesota Timberwolves,217.5,MAYBE,74,74,234.0,True,SKIPPED,Strong offense (avg ORtg: 114.4) | Fast pace (100.7) | Sacramento Kings hot (WARM)
2025-11-14,Los Angeles Lakers @ New Orleans Pelicans,216.5,NO,55,55,222.0,True,SKIPPED,Strong offense (avg ORtg: 115.9) | Above average pace (99.3) | Good buffer (15.2 pts above minimum)
2025-11-14,Los Angeles Clippers @ Dallas Mavericks,208.5,NO,32,32,260.0,True,SKIPPED,Above average pace (99.8) | Moderate buffer (14.9 pts above minimum) | Both teams rested (2+ days)
2025-11-14,Golden State Warriors @ San Antonio Spurs,218.5,NO,65,65,217.0,False,SKIPPED,Elite offense (avg ORtg: 116.8) | Above average pace (99.6) | Good buffer (15.1 pts above minimum)
2025-11-21,Minnesota Timberwolves @ Phoenix Suns,222.5,MAYBE,73,73,227.0,True,SKIPPED,Elite offense (avg ORtg: 118.4) | Above average pace (99.5) | Both teams neutral form
2025-11-21,Oklahoma City Thunder @ Utah Jazz,226.0,YES,84,84,256.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (100.8) | Utah Jazz hot (WARM)
2025-11-21,Portland Trail Blazers @ Golden State Warriors,217.5,MAYBE,77,77,250.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Fast pace (101.1) | Portland Trail Blazers hot (HOT)
2025-11-21,Denver Nuggets @ Houston Rockets,231.5,NO,63,63,221.0,False,SKIPPED,Elite offense (avg ORtg: 124.6) | Average pace (97.8) | Both teams neutral form
2025-11-21,Oklahoma City Thunder @ Utah Jazz,226.0,YES,84,84,256.0,True,WIN,Elite offense (avg ORtg: 117.4) | Fast pace (100.8) | Utah Jazz hot (WARM)
2025-11-21,Portland Trail Blazers @ Golden State Warriors,217.5,MAYBE,77,77,250.0,True,SKIPPED,Strong offense (avg ORtg: 114.5) | Fast pace (101.1) | Portland Trail Blazers hot (HOT)
2025-11-21,Denver Nuggets @ Houston Rockets,231.5,NO,63,63,221.0,False,SKIPPED,Elite offense (avg ORtg: 124.6) | Average pace (97.8) | Both teams neutral form
2025-11-21,New Orleans Pelicans @ Dallas Mavericks,208.5,NO,45,45,233.0,True,SKIPPED,Fast pace (100.5) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-21,Minnesota Timberwolves @ Phoenix Suns,222.5,MAYBE,73,73,227.0,True,SKIPPED,Elite offense (avg ORtg: 118.4) | Above average pace (99.5) | Both teams neutral form
2025-11-21,Brooklyn Nets @ Boston Celtics,209.0,MAYBE,78,78,218.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Average pace (96.6) | Both teams hot (WARM/HOT)
2025-11-21,New Orleans Pelicans @ Dallas Mavericks,208.5,NO,45,45,233.0,True,SKIPPED,Fast pace (100.5) | Good buffer (15.2 pts above minimum) | Both teams rested (2+ days)
2025-11-21,Miami Heat @ Chicago Bulls,229.5,MAYBE,72,72,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Fast pace (104.5) | Moderate buffer (14.8 pts above minimum)
2025-11-21,Washington Wizards @ Toronto Raptors,215.5,NO,63,63,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (101.0) | Both teams neutral form
2025-11-21,Brooklyn Nets @ Boston Celtics,209.0,MAYBE,78,78,218.0,True,SKIPPED,Elite offense (avg ORtg: 116.1) | Average pace (96.6) | Both teams hot (WARM/HOT)
2025-11-21,Indiana Pacers @ Cleveland Cavaliers,214.5,NO,55,55,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.0) | Good buffer (15.2 pts above minimum)
2025-11-21,Indiana Pacers @ Cleveland Cavaliers,214.5,NO,55,55,229.0,True,SKIPPED,Above-avg offense (avg ORtg: 112.8) | Fast pace (101.0) | Good buffer (15.2 pts above minimum)
2025-11-21,Washington Wizards @ Toronto Raptors,215.5,NO,63,63,250.0,True,SKIPPED,Above-avg offense (avg ORtg: 113.2) | Fast pace (101.0) | Both teams neutral form
2025-11-21,Miami Heat @ Chicago Bulls,229.5,MAYBE,72,72,250.0,True,SKIPPED,Elite offense (avg ORtg: 116.0) | Fast pace (104.5) | Moderate buffer (14.8 pts above minimum)
