game_time,away_team,home_team,game,minimum_total,minimum_odds,original_confidence,mc_probability,mc_decision,mc_level,avg_simulated_total,std_simulated_total,percentile_5,percentile_95,risk_factors,flags,injuries,flag
2025-11-28 19:40:00-05:00,Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers @ Atlanta Hawks,217.5,-780,87,85.06,YES,HIGH,236.0,17.6,207.4,265.3,['🎲 Cleveland Cavaliers high variance (±12.8 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers @ Brooklyn Nets,206.5,-820,72,81.2,MAYBE,MEDIUM,219.7,14.9,195.8,244.5,['🐢 Brooklyn Nets slow pace (97.5)'],"{'slow_pace_game': np.True_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Chicago Bulls,Charlotte Hornets,Chicago Bulls @ Charlotte Hornets,225.5,-760,84,75.98,LEAN_NO,LOW,237.2,16.7,209.8,265.4,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",⚠️ DOWNGRADED: MC found hidden risk (variance/pace/defense)
2025-11-28 19:40:00-05:00,Orlando Magic,Detroit Pistons,Orlando Magic @ Detroit Pistons,213.5,-800,92,94.61,STRONG_YES,VERY HIGH,239.3,16.2,213.0,266.4,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Washington Wizards,Indiana Pacers,Washington Wizards @ Indiana Pacers,218.5,-770,43,62.99,NO,VERY LOW,224.5,17.5,195.9,253.2,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 19:40:00-05:00,Milwaukee Bucks,New York Knicks,Milwaukee Bucks @ New York Knicks,213.5,-770,78,90.4,YES,HIGH,237.0,18.2,207.7,267.1,['🎲 Milwaukee Bucks high variance (±12.8 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,San Antonio Spurs,Denver Nuggets,San Antonio Spurs @ Denver Nuggets,214.5,-960,78,98.71,STRONG_YES,VERY HIGH,241.9,12.5,221.6,262.9,[],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,Phoenix Suns,Oklahoma City Thunder,Phoenix Suns @ Oklahoma City Thunder,205.5,-1040,78,96.43,STRONG_YES,VERY HIGH,235.0,16.6,208.0,263.0,['🛡️ Oklahoma City Thunder elite defense (DRtg: 104.0)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.True_, 'both_elite_defense': np.False_, 'high_variance_game': np.False_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 21:40:00-05:00,Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,219.5,-840,62,68.94,NO,VERY LOW,230.2,20.6,197.0,265.1,['🎲 Utah Jazz high variance (±17.1 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",
2025-11-28 22:10:00-05:00,Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,208.5,-820,45,85.31,YES,HIGH,228.3,18.6,198.6,259.5,['🎲 Dallas Mavericks high variance (±13.1 PPG)'],"{'slow_pace_game': np.False_, 'both_slow_pace': np.False_, 'elite_defense_involved': np.False_, 'both_elite_defense': np.False_, 'high_variance_game': np.True_, 'injury_concern': False, 'fatigue_concern': False, 'blowout_risk': False}","{'away_stars_out': [], 'home_stars_out': []}",📈 UPGRADED: MC shows safer than original estimate
