away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,away_ortg,away_drtg,home_ortg,home_drtg,odds,vegas_total,risk_flags
Cleveland Cavaliers,Atlanta Hawks,Cleveland Cavaliers @ Atlanta Hawks,219.5,132.3,133.7,266.0,101.0,10000,9879,98.79,263.2,18.8,231.1,238.3,250.5,276.5,287.4,293.2,MAYBE,MULTI_FLAG_HIGH,3,True,116.5,112.6,116.2,113.3,-810,234.5,🎲 Cleveland Cavaliers high variance (±12.8); 🛡️🛡️ BOTH teams good defense (112.6 & 113.3 DRtg); 🚗🛡️ Road team good defense (112.6 DRtg)
Philadelphia 76ers,Brooklyn Nets,Philadelphia 76ers @ Brooklyn Nets,203.5,141.4,129.7,271.1,98.9,10000,9998,99.98,267.9,16.8,238.4,245.7,257.0,280.3,288.8,293.0,MAYBE,MULTI_FLAG_HIGH,2,True,117.2,115.7,112.0,122.8,-870,218.5,🐢 Brooklyn Nets slow pace (97.5); 🐢🐢 Both teams below avg pace (99.7 & 97.5)
Chicago Bulls,Charlotte Hornets,Chicago Bulls @ Charlotte Hornets,226.5,140.4,141.2,281.6,101.1,10000,9956,99.56,277.6,17.7,245.7,253.8,265.8,290.7,299.8,304.5,MAYBE,FLAG_CAUTION,1,True,115.9,118.7,116.4,120.7,-730,241.5,🔄 Pace mismatch (4.2 difference)
Orlando Magic,Detroit Pistons,Orlando Magic @ Detroit Pistons,211.5,130.4,137.1,267.5,100.2,10000,9981,99.81,264.5,17.8,234.0,241.0,252.9,277.2,287.0,292.7,STRONG_YES,ELITE_CLEAN,0,True,117.8,114.5,118.2,111.3,-840,226.5,
Washington Wizards,Indiana Pacers,Washington Wizards @ Indiana Pacers,218.5,131.2,137.6,268.8,101.5,10000,9894,98.94,265.3,18.9,232.7,240.1,253.1,278.7,289.2,295.1,MAYBE,MULTI_FLAG_HIGH,3,True,109.0,124.7,107.5,119.5,-770,233.5,⚠️ Both teams mediocre offense (109.0 vs 107.5); 📉 Washington Wizards weak offense (ORtg: 109.0); 📉 Indiana Pacers weak offense (ORtg: 107.5)
Milwaukee Bucks,New York Knicks,Milwaukee Bucks @ New York Knicks,212.5,131.8,143.7,275.5,99.9,10000,9988,99.88,271.3,18.8,238.3,246.0,258.8,285.0,295.2,300.7,MAYBE,FLAG_CAUTION,1,True,115.1,117.9,120.7,115.5,-770,227.5,🎲 Milwaukee Bucks high variance (±12.8)
San Antonio Spurs,Denver Nuggets,San Antonio Spurs @ Denver Nuggets,216.5,133.4,140.2,273.6,99.3,10000,9984,99.84,270.6,15.8,243.1,249.5,260.8,281.6,290.0,294.9,MAYBE,MULTI_FLAG_HIGH,2,True,118.4,112.3,124.3,114.3,-1020,231.5,🐢🐢 Both teams below avg pace (99.2 & 99.0); 🚗🛡️ Road team good defense (112.3 DRtg)
Phoenix Suns,Oklahoma City Thunder,Phoenix Suns @ Oklahoma City Thunder,206.5,120.4,137.9,258.3,99.4,10000,9961,99.61,255.2,18.0,224.4,231.6,242.9,267.9,277.9,283.5,MAYBE,MULTI_FLAG_HIGH,3,True,117.4,113.7,120.7,104.0,-1080,221.5,🛡️ Oklahoma City Thunder elite defense (DRtg: 104.0); 🛡️🛡️ BOTH teams good defense (113.7 & 104.0 DRtg); 🐢🐢 Both teams below avg pace (99.1 & 99.3)
Sacramento Kings,Utah Jazz,Sacramento Kings @ Utah Jazz,218.5,134.0,141.3,275.3,101.4,10000,9925,99.25,270.5,19.9,234.9,243.1,257.4,285.3,295.3,300.3,MAYBE,MULTI_FLAG_HIGH,2,True,109.9,121.0,114.0,121.2,-720,233.5,🎲 Utah Jazz high variance (±17.1); 📉 Sacramento Kings weak offense (ORtg: 109.9)
Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks @ Los Angeles Lakers,208.5,120.7,133.0,253.7,101.0,10000,9818,98.18,251.1,20.1,217.7,225.0,237.2,265.1,276.7,283.4,MAYBE,MULTI_FLAG_HIGH,3,True,105.3,111.1,117.1,114.4,-840,223.5,🎲 Dallas Mavericks high variance (±13.1); 📉 Dallas Mavericks weak offense (ORtg: 105.3); 🚗🛡️ Road team good defense (111.1 DRtg)
Memphis Grizzlies,Los Angeles Clippers,Memphis Grizzlies @ Los Angeles Clippers,204.5,131.1,132.8,263.9,99.1,10000,9975,99.75,260.7,19.6,227.4,234.8,247.6,274.7,285.9,292.0,MAYBE,MULTI_FLAG_HIGH,3,True,111.2,115.8,114.4,119.9,-880,219.5,🐢 Los Angeles Clippers slow pace (96.6); 🎲 Los Angeles Clippers high variance (±13.0); 🔄 Pace mismatch (4.4 difference)
