date,game,away_team,home_team,minimum,actual_total,went_over,prediction,confidence,result,reasoning
2024-10-22,New York Knicks @ Boston Celtics,New York Knicks,Boston Celtics,217.0,241,True,NO,60,SKIPPED,Elite offense (119.5) | Average pace (96.2) | Limited recent form data | Moderate buffer (15.1) | Both teams rested
2024-10-22,Minnesota Timberwolves @ Los Angeles Lakers,Minnesota Timberwolves,Los Angeles Lakers,212.5,213,True,NO,60,SKIPPED,Elite offense (116.2) | Average pace (97.4) | Limited recent form data | Moderate buffer (15.2) | Both teams rested
2024-10-23,Chicago Bulls @ New Orleans Pelicans,Chicago Bulls,New Orleans Pelicans,212.5,234,True,NO,55,SKIPPED,Above-avg offense (112.2) | Fast pace (100.9) | Limited recent form data | Moderate buffer (15.1) | Both teams rested
2024-10-23,Indiana Pacers @ Detroit Pistons,Indiana Pacers,Detroit Pistons,218.0,224,True,NO,50,SKIPPED,Strong offense (115.8) | Above average pace (99.8) | Limited recent form data | Decent buffer (14.9) | Both teams rested
2024-10-23,Brooklyn Nets @ Atlanta Hawks,Brooklyn Nets,Atlanta Hawks,208.5,236,True,NO,30,SKIPPED,Weak offense (111.5) | Above average pace (99.5) | Limited recent form data | Decent buffer (14.8) | Both teams rested
2024-10-23,Milwaukee Bucks @ Philadelphia 76ers,Milwaukee Bucks,Philadelphia 76ers,210.0,233,True,NO,45,SKIPPED,Above-avg offense (113.9) | Above average pace (98.3) | Limited recent form data | Moderate buffer (15.1) | Both teams rested
2024-10-23,Cleveland Cavaliers @ Toronto Raptors,Cleveland Cavaliers,Toronto Raptors,218.0,242,True,NO,60,SKIPPED,Elite offense (116.1) | Above average pace (99.8) | Limited recent form data | Decent buffer (14.8) | Both teams rested
2024-10-23,Orlando Magic @ Miami Heat,Orlando Magic,Miami Heat,201.0,213,True,NO,30,SKIPPED,Weak offense (111.5) | Average pace (96.2) | Limited recent form data | Moderate buffer (15.0) | Both teams rested
2024-10-23,Golden State Warriors @ Portland Trail Blazers,Golden State Warriors,Portland Trail Blazers,209.5,244,True,NO,45,SKIPPED,Above-avg offense (113.3) | Above average pace (98.8) | Limited recent form data | Moderate buffer (15.2) | Both teams rested
2024-10-23,Phoenix Suns @ Los Angeles Clippers,Phoenix Suns,Los Angeles Clippers,211.5,229,True,NO,50,SKIPPED,Strong offense (115.7) | Average pace (97.3) | Limited recent form data | Moderate buffer (15.0) | Both teams rested
2024-10-23,Charlotte Hornets @ Houston Rockets,Charlotte Hornets,Houston Rockets,204.5,215,True,NO,30,SKIPPED,Weak offense (111.3) | Above average pace (98.1) | Limited recent form data | Decent buffer (14.9) | Both teams rested
