away_team,home_team,game,minimum_line,away_expected,home_expected,total_expected,game_tempo,simulations,hits,mc_probability,avg_simulated_total,std_simulated_total,percentile_5,percentile_10,percentile_25,percentile_75,percentile_90,percentile_95,mc_decision,confidence_level,flag_count,floor_safe,risk_flags,away_ortg,away_drtg,home_ortg,home_drtg,flags,away_injuries,home_injuries,actual_total,hit,estimated_vegas
Sacramento Kings,Minnesota Timberwolves,Sacramento Kings @ Minnesota Timberwolves,211.89999999999998,124.2,145.8,270.0,101.0,1000,1000,100.0,266.6,15.7,238.4,245.3,256.4,277.9,285.8,290.2,STRONG_YES,ELITE,0,True,[],109.9,121.0,118.1,112.8,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],234.0,True,231.89999999999998
Los Angeles Lakers,New Orleans Pelicans,Los Angeles Lakers @ New Orleans Pelicans,207.89999999999998,141.9,128.1,270.0,99.8,1000,999,99.9,267.4,18.7,235.4,242.5,255.6,281.0,291.6,297.8,YES,HIGH_DESPITE_FLAG,1,True,['🎲 New Orleans Pelicans high variance (±13.0)'],117.1,114.4,110.9,122.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],222.0,True,227.89999999999998
Los Angeles Clippers,Dallas Mavericks,Los Angeles Clippers @ Dallas Mavericks,201.3,125.6,127.3,252.9,99.6,1000,991,99.1,249.7,20.1,216.5,222.0,235.7,264.8,275.7,281.6,MAYBE,MULTI_FLAG_HIGH,3,True,"['🐢 Los Angeles Clippers slow pace (96.6)', '🎲 Los Angeles Clippers high variance (±13.0)', '🎲 Dallas Mavericks high variance (±13.1)']",114.4,119.9,105.3,111.1,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],260.0,True,221.3
Golden State Warriors,San Antonio Spurs,Golden State Warriors @ San Antonio Spurs,214.1,127.5,136.0,263.5,100.0,1000,993,99.3,260.6,17.0,232.2,238.8,249.8,271.8,281.9,288.2,STRONG_YES,ELITE,0,True,[],114.5,113.6,118.4,112.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': False, 'injury_concern': False}",[],[],217.0,True,234.1
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,992,99.2,265.0,17.6,235.6,241.4,254.4,277.1,287.4,293.3,STRONG_YES,ELITE,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Miami Heat,New York Knicks,Miami Heat @ New York Knicks,224.2,136.7,138.5,275.2,102.2,1000,995,99.5,271.1,19.0,238.6,243.9,258.2,285.2,295.4,301.4,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Miami Heat high variance (±13.3)'],116.7,111.1,120.7,115.5,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],272.0,True,244.2
Brooklyn Nets,Orlando Magic,Brooklyn Nets @ Orlando Magic,207.5,125.9,144.7,270.6,99.0,1000,1000,100.0,266.4,16.1,238.8,244.5,255.6,278.1,285.7,290.2,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Brooklyn Nets slow pace (97.5)'],112.0,122.8,117.8,114.5,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],203.0,False,227.5
Philadelphia 76ers,Detroit Pistons,Philadelphia 76ers @ Detroit Pistons,217.89999999999998,129.7,138.5,268.1,100.2,1000,992,99.2,264.4,18.0,234.0,239.8,252.9,277.0,286.4,292.5,STRONG_YES,ELITE,0,True,[],117.2,115.7,118.2,111.3,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],219.0,True,237.89999999999998
Portland Trail Blazers,Houston Rockets,Portland Trail Blazers @ Houston Rockets,221.6,129.5,147.5,277.0,99.4,1000,996,99.6,272.9,17.2,241.4,250.7,261.4,285.4,293.4,300.1,YES,HIGH_DESPITE_FLAG,1,True,['🐢 Houston Rockets slow pace (96.4)'],116.2,118.2,124.2,112.9,"{'slow_pace_game': True, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.False_, 'injury_concern': False}",[],[],256.0,True,241.6
Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets @ Milwaukee Bucks,212.7,135.9,140.0,275.9,99.7,1000,1000,100.0,272.1,19.1,238.7,245.6,259.1,286.3,296.7,301.6,YES,HIGH_DESPITE_FLAG,1,True,['🎲 Milwaukee Bucks high variance (±12.8)'],116.4,120.7,115.1,117.9,"{'slow_pace_game': False, 'both_slow_pace': False, 'elite_defense_involved': False, 'both_bad_offense': False, 'high_variance': np.True_, 'injury_concern': False}",[],[],281.0,True,232.7
